series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
Energy use (kg of oil equivalent per capita),Ireland,IRL,3626.74716057663,3713.51386863164,3661.32224061006,3515.09450344437,3558.0859413964,3503.64286377074,3424.16085207967,3416.03094562283,3293.88463505425,3149.5651406995,3152.00360514061,2865.37473985193,2853.0648654983,2814.9826896226,2741.5748839566,2819.87585169324
Energy use (kg of oil equivalent per capita),Isle of Man,IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Israel,ISR,2899.42661790428,2973.04270849511,2862.79573820396,2949.30041705906,2821.99691584667,2661.44918543744,2882.39902462537,2898.15336833749,3129.12776379159,2873.87610879555,3042.43402067265,2980.17615699606,3067.74249415334,2870.0987654321,2762.50593376097,2777.87532368349
Energy use (kg of oil equivalent per capita),Italy,ITA,3012.19499987601,3020.62119454278,3037.2669647055,3168.52902114021,3169.93264162306,3214.67412061146,3175.79987086883,3149.57655346296,3087.5663310273,2869.92071205584,2930.58852412547,2828.40489139601,2709.29772810307,2579.47254262663,2414.48400158318,2481.75464546017
Energy use (kg of oil equivalent per capita),Jamaica,JAM,1462.24939854116,1457.55434664569,1350.88306624474,1398.85185063895,1406.66523215672,1381.9820577537,1540.48918758016,1541.90360380279,1291.73752171512,1103.37614792866,972.834581498439,1033.27484138708,998.962282185664,1033.82959362888,1005.31615402815,0
Energy use (kg of oil equivalent per capita),Japan,JPN,4083.83169745276,4008.26803199396,3991.97756679352,3953.18450805681,4078.21054155807,4062.97904878182,4053.88343735824,4012.65424488871,3858.43452050944,3678.51113263099,3893.26660420083,3610.81216900174,3537.3631698125,3567.62935383891,3470.76312894811,3428.55721600428
Energy use (kg of oil equivalent per capita),Jordan,JOR,903.235692957697,876.029616137354,900.961455937306,900.987629723496,1057.12759524255,1107.26771170231,1066.31513880247,1055.9143558578,1011.31738433898,1044.27848456814,973.444174578662,944.587098271435,1034.62588671575,966.91537548007,930.378845526069,0
Energy use (kg of oil equivalent per capita),Kazakhstan,KAZ,2301.71123951631,2217.50808157657,2537.99870815499,2737.17646999056,3204.38716103731,3186.25126556876,3814.52647326865,4065.05222850607,4252.97821663438,3819.21282543773,4105.33212645388,4531.56667859291,4268.28923849189,4644.56102929843,4303.21500806706,0
Energy use (kg of oil equivalent per capita),Kenya,KEN,456.855962345588,448.777529580947,440.664468512962,436.639416064728,445.018192513537,447.038569486322,452.112193342252,448.218991785989,450.165382644256,462.523408524129,469.237630228945,465.9964258302,459.552856258762,474.190990862184,513.123346414357,0
Energy use (kg of oil equivalent per capita),Kiribati,KIR,0,0,0,0,83.2596138835406,81.6035089508849,99.9830028895088,107.771289728416,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),"Korea, Dem. People's Rep.",PRK,833.134918538945,855.307318915802,817.138743014787,831.404859533141,845.078918552808,874.548053807702,878.698642137842,742.745821973147,814.503660020114,800.64085486117,756.617512813931,557.750150470912,565.416539477183,428.283581827336,467.998836364185,0
Energy use (kg of oil equivalent per capita),"Korea, Rep.",KOR,4002.67128368549,4033.31896845449,4170.47614661985,4233.4873245883,4332.6677414717,4364.21909084115,4412.52711800821,4564.98783020283,4629.77792060244,4649.76574209758,5045.48774882698,5216.58780873474,5248.51989108414,5231.6754603358,5289.27583193211,5413.34785665856
Energy use (kg of oil equivalent per capita),Kosovo,XKX,856.943688546918,1044.87065723301,1035.03652986506,1091.49742065686,1099.83250794257,1070.06721463477,1084.46350103884,1131.46798118969,1230.09754239368,1356.38701251086,1394.78002150113,1410.72541685059,1310.3856620955,1296.69455079673,1219.31522053323,0
Energy use (kg of oil equivalent per capita),Kuwait,KWT,9575.30046671909,9947.49868160335,9972.25644595514,10379.9214268482,10832.1815956835,11749.7456173763,10852.4467667174,10472.8622142864,10829.5174549798,11236.0503583637,10898.1943159071,10336.1706121078,11145.0620881727,9958.85335835915,9241.64510747226,0
Energy use (kg of oil equivalent per capita),Kyrgyz Republic,KGZ,473.382987351995,435.878543742281,485.288247910515,511.251543629697,497.867411729848,498.538974104235,485.421413915793,560.619863641312,593.943214628909,535.186282282519,503.631111352557,596.823469714211,731.373038862181,683.440970028474,642.654250723541,0
Energy use (kg of oil equivalent per capita),Lao PDR,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Latvia,LVA,1618.46001140419,1759.16086549117,1763.25755690158,1889.95412934258,1961.10461565925,2022.56433025028,2113.71073276303,2179.81389112972,2106.36368897205,2055.82468626104,2148.65355139675,2066.63756870509,2170.58583240878,2156.16200953272,2176.84330583785,0
Energy use (kg of oil equivalent per capita),Lebanon,LBN,1133.44158693935,1195.05679115331,1171.04006179898,1156.22135680679,1149.52648012873,1079.45855175074,1009.07004135432,872.214714835601,1102.59973191775,1331.73072782074,1265.23737584522,1245.36952366749,1369.63872551398,1231.21055061813,1180.65965126777,0
Energy use (kg of oil equivalent per capita),Lesotho,LSO,0,0,0,0,14.2050571017929,16.8964238974827,9.76832112893001,9.72728780689593,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Liberia,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Libya,LBY,2983.52334514793,3017.82521001125,3078.79932684749,3105.14951957487,3126.90464698041,3033.55961410515,3004.78277438706,2737.087795976,2854.3917580664,3031.19189480995,3198.60726004445,2157.73545320873,2791.27309636258,3079.48351591878,2780.14989921042,0
Energy use (kg of oil equivalent per capita),Liechtenstein,LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Lithuania,LTU,2037.61955870721,2384.74273211675,2574.35333091107,2709.24975982464,2779.19590177891,2662.80073486213,2666.01333553931,2927.24122286613,2975.91199635048,2770.8323584945,2275.76016649436,2412.48070169066,2468.99881617512,2356.64500222978,2387.27519440779,0
Energy use (kg of oil equivalent per capita),Luxembourg,LUX,7676.83703873481,7982.8503482249,8204.72684484788,8549.50291167549,9387.43710365754,9428.81128562768,9170.532565161,8773.89670266025,8612.2337051059,7951.72394396755,8329.47827510637,8056.404300594,7722.19020390021,7312.15400471142,6861.10666721791,6548.40555894973
Energy use (kg of oil equivalent per capita),"Macao SAR, China",MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),North Macedonia,MKD,1316.50800700767,1266.24000802012,1251.04880462261,1379.1588080436,1362.18235817529,1396.62250103474,1470.39668813967,1525.65063973417,1532.11297224996,1437.2605016791,1479.44096947127,1611.07578308639,1534.48843182865,1404.57092987212,1367.86285883549,0
Energy use (kg of oil equivalent per capita),Madagascar,MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Malawi,MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Malaysia,MYS,2128.59533531617,2162.6181888725,2181.9827065907,2283.09281486792,2399.18486020304,2544.0910113616,2501.712607156,2680.57790411124,2744.00801971443,2555.84477857923,2560.80226199423,2623.8471185091,2624.83537056864,2909.99247206187,2922.28592151514,0
Energy use (kg of oil equivalent per capita),Maldives,MDV,0,0,0,0,829.42673341893,734.264707322088,917.632889492147,921.47719883259,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Mali,MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Malta,MLT,1731.70856757595,2001.33578269233,1851.91264972763,2071.49846204796,2066.58392894524,2181.14373727819,2055.68604616736,2156.55579705156,2043.52690294324,1887.20340770516,2012.31580572631,1993.32881701212,2090.39397373508,1803.21010782525,1781.50442518605,0
Energy use (kg of oil equivalent per capita),Marshall Islands,MHL,0,0,0,0,559.942847212836,558.70226948715,577.011847976612,614.970692802921,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Mauritius,MUS,851.221655560452,886.76379497562,873.195801833108,909.063187650923,919.797903854454,945.723767233813,1006.50164182056,1007.57484087994,1027.17420572436,999.486944747958,1053.45249520154,1053.50988977998,1067.78025324035,1094.48760730368,1111.18070928824,0
Energy use (kg of oil equivalent per capita),Mexico,MEX,1520.85385539845,1551.39507299661,1536.77926743744,1605.53404756322,1601.01173695291,1688.18442463496,1703.43921857179,1668.65757702459,1627.74248654723,1606.14565280926,1538.08041873587,1593.29627811386,1641.07773336157,1623.21958117658,1569.31702404542,1547.2405968711
Energy use (kg of oil equivalent per capita),"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Moldova,MDA,985.730004226121,1045.89506654079,1063.27813051177,1157.37094059723,1166.00386115718,1210.52376526704,1197.64579045855,1168.03297082176,1165.93332550204,1108.83833069304,1225.31280198047,1206.7103180027,1194.09374602318,1073.53164370158,1155.26267445583,0
Energy use (kg of oil equivalent per capita),Monaco,MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Mongolia,MNG,1003.47067096708,998.756695788772,1055.77807022952,1018.14887593565,1036.70409805088,1181.01511311079,1327.57147175409,1372.18632895824,1355.85375459528,1383.4997761151,1439.5604796865,1548.10202859187,1680.68690233669,1814.17007386312,1813.91023562044,0
Energy use (kg of oil equivalent per capita),Montenegro,MNE,0,0,0,0,0,1745.97443106432,1913.55635949758,1927.97889182058,2067.96775850975,1646.31227215532,1898.28842093028,1815.52995666681,1711.79711279872,1580.41844344961,1538.26409996623,0
Energy use (kg of oil equivalent per capita),Morocco,MAR,387.668098525038,405.378508420181,406.627894336564,399.729908088605,468.190016778944,488.967803828851,490.570851723649,499.227228937884,511.473318356161,508.341570723009,526.093004666644,559.194372681966,559.567655349874,554.754883089998,554.936093727251,0
Energy use (kg of oil equivalent per capita),Mozambique,MOZ,395.632337805914,407.097385014097,403.263883152627,415.755183389433,422.103975879816,418.071174029845,420.562871555788,428.31573352324,425.988389221229,430.421300349749,433.064491058072,438.1002120213,433.662905090286,436.359641701286,451.208146274644,0
Energy use (kg of oil equivalent per capita),Myanmar,MMR,283.550199476314,274.183672816182,280.615196363488,301.526091392,315.405275497733,314.009135854492,316.144215141382,325.701090802142,312.261921394841,294.199053897128,286.00283018356,289.844135409639,314.155765526187,330.502139381487,380.985920856459,0
Energy use (kg of oil equivalent per capita),Namibia,NAM,560.698695238823,651.044561045272,592.208871040281,608.341017093411,629.756107105673,674.075121200133,666.692103170459,677.01575349252,711.0098600136,713.255646256801,729.201336043845,740.040301445494,749.986102592937,771.050313694779,781.001055732376,0
Energy use (kg of oil equivalent per capita),Nauru,NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Nepal,NPL,330.300125366096,335.698304243904,334.29868339354,338.941143047866,339.492400560625,347.085067278847,343.716804831844,347.464538130776,356.934597755461,365.019255302177,373.440930625582,384.804176621641,366.888367006036,407.122313464634,422.432014316085,0
Energy use (kg of oil equivalent per capita),Netherlands,NLD,4739.06592522326,4839.46553011371,4873.26162620444,5020.38193187406,5085.8857008193,4989.46792952002,4925.11241671638,4908.89826059524,4848.01368974655,4722.10603889032,5025.32091625393,4636.70190403517,4646.25524068631,4600.18297553883,4325.52371158081,4233.04385740124
Energy use (kg of oil equivalent per capita),New Caledonia,NCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),New Zealand,NZL,4430.22785597636,4407.61886354851,4337.38052424971,4197.59386174017,4239.64574923547,4095.14308522219,4047.31802322803,4054.49500449832,4082.72336729424,4073.23804211407,4225.09458248098,4177.02554744526,4357.80971393571,4360.30593638144,4553.02690136167,4431.51473076756
