series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
GDP per capita (current US$),Nicaragua,NIC,1017.3124434882,1051.874235891,1014.3339042591,1021.35216668794,1098.62118662335,1183.30217305152,1248.17675959909,1350.38954614622,1523.68088982295,1467.08019633408,1526.56185349171,1679.71034177231,1784.69212752824,1835.43436443315,1958.36966453366,2074.45446460028
GDP per capita (current US$),Niger,NER,194.771959898935,205.417936120931,225.294391147438,265.225363452469,283.468281798296,318.643121918273,333.345078419447,387.168065883301,475.044955398162,461.131533961487,474.425692340831,510.75956176268,528.510104469655,552.103334363117,565.30989731175,485.662574175279
GDP per capita (current US$),Nigeria,NGA,547.318298903379,566.428231812933,712.164852077686,763.388745367223,962.48104194733,1211.37703504386,1599.53891556365,1815.52697545827,2154.10543545364,1820.48633854782,2202.25672957344,2418.41316975875,2633.19734671361,2872.79083379398,3088.72131316169,2585.73360671797
GDP per capita (current US$),Northern Mariana Islands,MNP,0,0,19227.8894246608,18938.8728389967,18924.5831899653,17015.7487891715,16314.5578590027,15914.2193040498,16430.4461942257,14369.6339810212,14771.4037455399,13598.7166094613,14013.6003306158,14632.8518897608,15945.417608954,17665.1007493109
GDP per capita (current US$),Norway,NOR,38178.2368777076,38601.897639231,43170.557174499,50250.3298214345,57768.6980958462,67047.1704558264,74434.4996835671,85502.2677087731,97503.5407803783,80347.5700665184,88163.2085931423,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898
GDP per capita (current US$),Oman,OMN,9753.84755185404,9611.96360191054,9869.13050219438,10463.5425832141,11800.8507411171,14434.8577924647,16930.8565071853,18792.653772482,26576.779241509,20655.9180249218,23570.1798147325,25188.0074151885,24642.2978768596,23458.0233840053,23160.6502252547,18808.3077921839
GDP per capita (current US$),Pakistan,PAK,642.338346499898,609.939506905073,599.937345723927,672.44178669894,771.902247348954,827.619861189926,900.873564984808,998.090114197524,1067.04324565284,963.788066395225,987.304571124485,1131.73513834324,1204.36475491585,1225.4340119198,1266.61340849959,1380.47020838317
GDP per capita (current US$),Palau,PLW,7797.25727395975,8239.63931376602,8340.53735322771,7862.04283025586,8395.13622603431,9639.65891316414,9885.14775685194,10408.4343591338,10582.739754853,10155.4332139612,10229.0878451837,11000.879522071,12145.3644807205,12768.9097206482,13726.0222622072,15690.7586522228
GDP per capita (current US$),Panama,PAN,3975.09308659503,3991.7767076924,4090.58617397129,4264.66428846636,4644.56582353041,5017.7410922824,5528.76705469354,6317.81730274124,7347.59050324397,7796.92617035048,8331.46421351868,9662.29592216607,11064.8063606203,12273.3225037637,13213.1989637473,14082.6548502728
GDP per capita (current US$),Papua New Guinea,PNG,635.957919047725,537.847459634131,506.331789534482,577.467922387259,620.596147680561,744.486489977433,1238.18282926706,1370.753415829,1624.79319935188,1568.83193368607,1866.86889851208,2288.37591141234,2635.0873631547,2560.77458976327,2723.17529825196,2484.5963398603
GDP per capita (current US$),Paraguay,PRY,1736.11729210765,1637.68615122932,1367.76506935997,1443.99885236205,1786.21533938543,1970.87169852378,2439.43124694576,3211.93621659546,4384.9546943793,3941.84815479271,4750.96273669322,5805.40154543044,5642.1699167298,6435.68342733182,6652.25478942291,5879.33792308671
GDP per capita (current US$),Peru,PER,1945.41338451698,1929.57273038846,2007.37019626753,2129.44114197634,2397.25147277714,2706.66947297608,3129.55996496982,3581.0893081917,4197.58444634142,4181.18755462253,5072.11494019615,5861.35793645245,6519.37852981527,6746.80025696601,6667.13410360861,6231.71150338894
GDP per capita (current US$),Philippines,PHL,1050.79272954492,969.530611744453,1014.90879320106,1027.2301192843,1099.63013023758,1220.46018559867,1426.14649179546,1712.65543282793,1959.29233534978,1864.45043406471,2162.91375885614,2383.91892526787,2614.61644410764,2781.27957670473,2866.83803767919,2909.85818014474
GDP per capita (current US$),Poland,POL,4520.64100449111,5015.23790036613,5223.45178967082,5720.81366178104,6711.72715262967,8043.92332253757,9068.85528307627,11272.5293683383,14048.5604672654,11556.3026866026,12567.7317676382,13867.6669408192,13087.420943321,13621.9023794031,14262.2841914116,12637.5220324406
GDP per capita (current US$),Portugal,PRT,11526.3720667968,11734.7649743954,12936.6928204482,15797.7821340276,18064.1580932987,18780.12751241,19839.4540499032,22811.0564844365,24949.0413566739,23151.2154130712,22551.935098809,23246.5425416481,20593.4274224109,21676.4859642714,22120.6850127107,19215.7813014347
GDP per capita (current US$),Puerto Rico,PRI,16192.1269719638,18123.1987019918,18731.4593897378,19557.1202492358,20988.9923326534,21959.322696986,22935.9411586313,23664.8823485096,24898.3345857045,25768.7258883384,26435.74878578,27278.8830499205,27944.7338937424,28513.1657351067,28981.4573305866,29763.4883013861
